gen	nevals	avg     	std        	min         	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std    	s-min     	s-max  	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.130889	0.338664   	-0.0146461  	1.0381 	0.13 	0.336303	0    	1    	0.834204	0.861125 	-0.278856 	5.30017	745.33 	471.565	56.5906	2292.48
1  	25    	0.182624	0.385546   	-0.00346117 	1.0381 	0.18 	0.384187	0    	1    	0.990012	0.872256 	-0.0872346	5.30017	727.641	475.16 	56.3642	2045.84
2  	25    	0.20387 	0.400607   	-0.000788839	1.0381 	0.2  	0.4     	0    	1    	1.12245 	0.836717 	0.149819  	5.30017	735.444	495.684	56.3642	2045.84
3  	25    	0.214416	0.407564   	0.00036088  	1.0381 	0.21 	0.407308	0    	1    	1.14222 	0.827148 	0.190622  	5.30017	700.654	493.44 	56.3642	2045.84
4  	25    	0.244864	0.426386   	0.00192105  	1.0381 	0.24 	0.427083	0    	1    	1.18069 	0.801352 	0.22367   	5.30017	694.284	496.583	56.3642	2045.84
5  	25    	0.265078	0.4375     	0.0026083   	1.0381 	0.26 	0.438634	0    	1    	1.20033 	0.794758 	0.22367   	5.30017	692.558	524.451	55.6568	2045.84
6  	25    	0.295841	0.452822   	0.00362181  	1.0381 	0.29 	0.453762	0    	1    	1.30015 	0.879176 	0.22367   	5.30017	716.095	549.814	61.9822	2045.84
7  	25    	0.316466	0.461949   	0.00393769  	1.0381 	0.31 	0.462493	0    	1    	1.39133 	0.967812 	0.22367   	5.30017	744.752	571.073	61.9822	2045.84
8  	25    	0.337002	0.469804   	0.00499429  	1.0381 	0.33 	0.470213	0    	1    	1.479   	0.995704 	0.22367   	5.30017	778.769	580.683	61.9822	2045.84
9  	25    	0.337324	0.469581   	0.0053698   	1.0381 	0.33 	0.470213	0    	1    	1.52252 	1.01009  	0.22367   	5.30017	790.139	579.251	61.9822	2045.84
10 	25    	0.397647	0.487058   	0.00602528  	1.0381 	0.39 	0.48775 	0    	1    	1.63189 	1.04363  	0.22367   	5.30017	867.205	600.653	100.668	2479.48
11 	25    	0.427724	0.492735   	0.00637244  	1.0381 	0.42 	0.493559	0    	1    	1.66872 	1.03709  	0.22367   	5.30017	896.346	605.214	138.797	2479.48
12 	25    	0.467609	0.497193   	0.00684062  	1.0381 	0.46 	0.498397	0    	1    	1.69887 	1.04273  	0.22367   	5.30017	937.942	622.697	138.797	2479.48
13 	25    	0.477823	0.497593   	0.0071085   	1.0381 	0.47 	0.499099	0    	1    	1.76777 	1.05621  	0.22367   	5.30017	985.461	626.312	138.797	2479.48
14 	25    	0.508019	0.498396   	0.00724081  	1.0381 	0.5  	0.5     	0    	1    	1.82536 	1.05863  	0.22367   	5.30017	1023.43	628.308	138.797	2479.48
15 	25    	0.577469	0.492808   	0.00760829  	1.0381 	0.57 	0.495076	0    	1    	1.85694 	1.06586  	0.22367   	5.30017	1109.99	618.58 	138.797	2479.48
16 	25    	0.637394	0.480354   	0.00801423  	1.0381 	0.63 	0.482804	0    	1    	1.88746 	1.08967  	0.22367   	5.30017	1148.01	611.388	138.797	2479.48
17 	25    	0.697172	0.459816   	0.00827999  	1.0381 	0.69 	0.462493	0    	1    	1.93463 	1.0829   	0.22367   	5.30017	1217.42	578.883	138.797	2479.48
18 	25    	0.767074	0.423807   	0.00936061  	1.0381 	0.76 	0.427083	0    	1    	1.97352 	1.1194   	0.22367   	5.30017	1266.11	577.517	98.7261	2480.81
19 	25    	0.866016	0.343104   	0.0111754   	1.0381 	0.86 	0.346987	0    	1    	2.00644 	1.15082  	0.22367   	5.30017	1404.86	506.534	138.797	2480.81
20 	25    	0.935508	0.251303   	0.0164678   	1.0381 	0.93 	0.255147	0    	1    	2.04159 	1.17026  	0.22367   	5.30017	1490.82	408.177	491.517	2480.81
21 	25    	1.00443 	0.0122668  	0.983665    	1.0381 	1    	0       	1    	1    	1.95751 	1.14449  	0.22367   	5.30017	1514.13	413.187	491.517	2480.81
22 	25    	1.00591 	0.0116491  	0.989288    	1.0381 	1    	0       	1    	1    	2.07628 	1.12945  	0.495676  	5.30017	1485.02	384.329	491.517	2479.48
23 	25    	1.00699 	0.0111624  	0.991882    	1.0381 	1    	0       	1    	1    	2.15135 	1.10626  	0.64647   	5.30017	1452.29	365.603	491.517	2069.27
24 	25    	1.00877 	0.0109945  	0.99468     	1.0381 	1    	0       	1    	1    	2.28965 	1.14083  	0.64647   	5.30017	1412.76	354.677	491.517	2200.21
25 	25    	1.00944 	0.0108699  	0.995708    	1.0381 	1    	0       	1    	1    	2.34511 	1.13504  	0.64647   	5.30017	1400.73	357.824	491.517	2200.21
26 	25    	1.01038 	0.010329   	0.99662     	1.0381 	1    	0       	1    	1    	2.43319 	1.095    	0.64647   	5.30017	1394.89	369.944	491.517	2200.21
27 	25    	1.0116  	0.00989814 	0.998301    	1.0381 	1    	0       	1    	1    	2.52876 	1.076    	0.64647   	5.30017	1368.9 	375.092	491.517	2200.21
28 	25    	1.01259 	0.00974154 	1.00083     	1.0381 	1    	0       	1    	1    	2.61283 	1.07736  	0.64647   	5.30017	1353.79	373.088	491.517	2200.21
